epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28353.1,0.81173,1.01746,1.62657,0.99109,0.33028,0.53474,0.38401,0.29372,0.31351,0.53867,0.36302,0.28656,0.86129,0.9731,2.06535,1.04685,0.000540037,0.000540037,0.000540037
43,28450.5,0.89459,0.98257,2.04675,1.04851,0.3666,0.49303,0.3448,0.26293,0.2651,0.63674,0.32336,0.24992,0.85358,0.95939,2.13776,1.04834,0.000531038,0.000531038,0.000531038
44,28495.3,0.80826,1.11083,1.57825,0.98794,0.30047,0.64951,0.33428,0.2527,0.27602,0.62959,0.31561,0.24274,0.82852,0.94752,2.23367,1.03723,0.000522039,0.000522039,0.000522039
45,29545.5,0.7799,1.15826,1.48676,0.97557,0.30047,0.64951,0.33428,0.2527,0.27602,0.62959,0.31561,0.24274,0.82852,0.94752,2.23367,1.03723,0.00051304,0.00051304,0.00051304
46,29650.7,0.81948,0.96404,1.54881,0.999,0.32482,0.6,0.3594,0.27539,0.276,0.62828,0.32991,0.258,0.83519,1.01119,2.24789,1.04645,0.00050404,0.00050404,0.00050404
47,29963.8,0.76499,1.07778,1.54856,1.02117,0.34389,0.63716,0.39738,0.30848,0.29787,0.60662,0.36576,0.28212,0.81896,1.0864,2.13513,1.04197,0.000495041,0.000495041,0.000495041
48,30064.3,0.89028,1.23937,1.77192,1.06255,0.34389,0.63716,0.39738,0.30848,0.29787,0.60662,0.36576,0.28212,0.81896,1.0864,2.13513,1.04197,0.000486042,0.000486042,0.000486042
49,30197.2,0.76966,0.91493,1.49056,1.0401,0.3696,0.5599,0.41778,0.32808,0.33706,0.53315,0.39052,0.30367,0.81472,0.99108,2.12658,1.03972,0.000477043,0.000477043,0.000477043
50,30241.4,0.83493,1.24642,1.57835,1.01355,0.3696,0.5599,0.41778,0.32808,0.33706,0.53315,0.39052,0.30367,0.81472,0.99108,2.12658,1.03972,0.000468044,0.000468044,0.000468044
51,30288.8,0.77786,1.01319,1.43217,0.98507,0.35184,0.60567,0.43736,0.33948,0.31012,0.56366,0.41156,0.31945,0.81871,0.93115,2.09516,1.04517,0.000459045,0.000459045,0.000459045
52,30332.9,0.78458,1.00337,1.56332,0.98442,0.35745,0.59009,0.40412,0.30594,0.31674,0.60785,0.37275,0.28888,0.81606,0.861,2.20981,1.03859,0.000450046,0.000450046,0.000450046
53,30375.5,0.78714,1.17242,1.50767,0.96823,0.35745,0.59009,0.40412,0.30594,0.31674,0.60785,0.37275,0.28888,0.81606,0.861,2.20981,1.03859,0.000441047,0.000441047,0.000441047
54,30423.6,0.77949,1.00779,1.40869,0.97424,0.32461,0.56039,0.3436,0.24746,0.27035,0.53316,0.30408,0.23531,0.83412,0.84163,2.42774,1.0385,0.000432048,0.000432048,0.000432048
55,30469.4,0.77075,1.03435,1.41475,0.97805,0.27583,0.56752,0.2942,0.20843,0.25512,0.57433,0.26984,0.20375,0.82862,0.82435,2.54592,1.0343,0.000423049,0.000423049,0.000423049
56,30511.2,0.74932,1.03871,1.3903,0.95269,0.27583,0.56752,0.2942,0.20843,0.25512,0.57433,0.26984,0.20375,0.82862,0.82435,2.54592,1.0343,0.000414049,0.000414049,0.000414049
57,30555.4,0.79197,1.04427,1.53917,1.02134,0.27291,0.56168,0.27981,0.19944,0.23414,0.56903,0.24889,0.18566,0.80425,0.83126,2.53487,1.02144,0.00040505,0.00040505,0.00040505
58,30596.9,0.77822,1.02854,1.35357,0.95701,0.27291,0.56168,0.27981,0.19944,0.23414,0.56903,0.24889,0.18566,0.80425,0.83126,2.53487,1.02144,0.000396051,0.000396051,0.000396051
59,30638,0.75925,0.92808,1.441,1.00045,0.27075,0.59943,0.28159,0.20329,0.23492,0.57174,0.25177,0.18286,0.80413,0.84183,2.44705,1.01966,0.000387052,0.000387052,0.000387052
60,30682.7,0.72811,0.9187,1.28713,0.96044,0.27596,0.59242,0.29559,0.21435,0.2534,0.56943,0.27203,0.19537,0.81185,0.86131,2.3947,1.02272,0.000378053,0.000378053,0.000378053
61,30725.3,0.74718,1.06092,1.37866,0.99211,0.27596,0.59242,0.29559,0.21435,0.2534,0.56943,0.27203,0.19537,0.81185,0.86131,2.3947,1.02272,0.000369054,0.000369054,0.000369054
62,30768.7,0.84272,1.08274,1.55783,1.06158,0.29154,0.63744,0.31182,0.22541,0.26277,0.59037,0.28666,0.20882,0.80171,0.87996,2.35943,1.01639,0.000360055,0.000360055,0.000360055
63,30820.6,0.70632,0.97269,1.31195,0.9682,0.28929,0.69407,0.32006,0.23687,0.26511,0.6585,0.29548,0.22323,0.79384,0.86444,2.33764,1.01623,0.000351056,0.000351056,0.000351056
64,30881.4,0.7231,0.92925,1.33963,0.96565,0.28929,0.69407,0.32006,0.23687,0.26511,0.6585,0.29548,0.22323,0.79384,0.86444,2.33764,1.01623,0.000342057,0.000342057,0.000342057
65,30924,0.72642,0.86842,1.29461,0.96377,0.29818,0.68628,0.33436,0.25106,0.26739,0.64791,0.30466,0.23868,0.80636,0.89067,2.30019,1.03257,0.000333058,0.000333058,0.000333058
66,31033.4,0.74367,0.99774,1.3715,0.98719,0.29818,0.68628,0.33436,0.25106,0.26739,0.64791,0.30466,0.23868,0.80636,0.89067,2.30019,1.03257,0.000324058,0.000324058,0.000324058
67,31127.7,0.70528,1.05707,1.37477,0.98951,0.3001,0.62611,0.32335,0.24457,0.26742,0.59315,0.29033,0.22565,0.807,0.89405,2.34888,1.03209,0.000315059,0.000315059,0.000315059
68,31174.5,0.67645,0.88596,1.26553,0.96859,0.29612,0.59695,0.30506,0.22916,0.27099,0.56614,0.27834,0.21069,0.79455,0.85433,2.44754,1.02097,0.00030606,0.00030606,0.00030606
69,31217.3,0.66129,0.93793,1.27861,0.93288,0.29612,0.59695,0.30506,0.22916,0.27099,0.56614,0.27834,0.21069,0.79455,0.85433,2.44754,1.02097,0.000297061,0.000297061,0.000297061
70,31257.5,0.72566,0.93573,1.37256,0.98297,0.28401,0.63121,0.28391,0.21403,0.25454,0.57994,0.25768,0.19057,0.7769,0.8341,2.50919,1.01154,0.000288062,0.000288062,0.000288062
71,31302.9,0.67908,0.83172,1.43264,0.93294,0.27677,0.60119,0.27807,0.20651,0.25179,0.54279,0.25281,0.18431,0.76222,0.83359,2.52616,1.00669,0.000279063,0.000279063,0.000279063
72,31415.3,0.69624,0.94032,1.22118,0.91966,0.27677,0.60119,0.27807,0.20651,0.25179,0.54279,0.25281,0.18431,0.76222,0.83359,2.52616,1.00669,0.000270064,0.000270064,0.000270064
73,31469.4,0.62382,0.89379,1.25915,0.93969,0.28961,0.59189,0.29779,0.22257,0.26403,0.55454,0.27048,0.19662,0.75444,0.82197,2.44741,1.00237,0.000261065,0.000261065,0.000261065
74,31511.3,0.63073,0.8832,1.18251,0.93777,0.28961,0.59189,0.29779,0.22257,0.26403,0.55454,0.27048,0.19662,0.75444,0.82197,2.44741,1.00237,0.000252066,0.000252066,0.000252066
75,31554.5,0.65768,0.94603,1.18986,0.93418,0.29841,0.62071,0.32552,0.24603,0.27102,0.56548,0.29366,0.21692,0.74692,0.8166,2.362,1.00484,0.000243067,0.000243067,0.000243067
76,31594.5,0.6752,0.96754,1.28486,0.95625,0.31803,0.63248,0.34908,0.26856,0.29006,0.60204,0.31946,0.23414,0.73714,0.82506,2.31727,1.00248,0.000234068,0.000234068,0.000234068
