component,body,L_mm,W_mm,H_mm,volume_mm3,appearance,quantity,visibility,measurement_type
Sofa Internal Structure,Body7 (1) (2) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (2),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body226,2060.8,693.01,837.64,0.0,Fabric (Green),1,External,Continuous
